STRATUM;ISCEDO;MISCED;FISCED;DURECEC;REPEAT;ESCS;UNDREM;METASUM;HOMEPOS;CULTPOSS;HEDRES;WEALTH;ICTRES;DIRINS;PERFEED;EMOSUPS;TEACHINT;JOYREAD;ATTLNACT;COMPETE;WORKMAST;GFOFAIL;EUDMO;SWBP;RESILIENCE;GCSELFEFF;DISCRIM;BELONG;BEINGBULLIED;CURSUPP;EMOSUPP;JOYREADP;PV1MATH;PV1SCIE
PRT0008;1;1;1;1;0;-2,2392;-1,64;,21;-,61;-,3487;-1,2793;-,0759;-,349;1,0055;-1,1311;99;-,5905;-,2704;-,6583;-,2661;-1,071;,4637;-,6723;-,5928;-1,3068;-,22;99;-1,0523;99;-,2518;,739;-1,6723;496,258;441,655
PRT0008;1;0;2;2;1;-1,7159;-,25;,59;-1,1523;-1,7773;-1,0118;-,5609;-,6068;-,0424;-1,1311;-,6576;99;-1,1538;1,0844;,1956;-,1015;,052;-,6723;,1869;-,8386;99;,0963;-,5582;,7703;-1,3112;-,5553;-1,2085;435,224;433,184
PRT0008;1;0;1;3;0;-2,0901;-,6;-1,72;-,634;-,3456;-,6853;-,4817;-,2993;-,2546;-,3253;-1,1847;-,2934;-1,4882;-1,1534;2,0054;1,1448;-,4342;-,569;,1038;,7512;,1904;-1,1549;-,5707;-,7823;1,0262;-,6796;-,7155;593,999;507,503
PRT0008;1;6;2;5;0;,9157;,8;,21;,2527;-,522;-,6853;1,1866;1,3867;1,1049;,7743;1,0346;,1744;-,3875;1,0844;,7871;-,1015;,4637;1,7411;1,2386;,3858;,8518;-1,1549;,9303;-,7823;-,0757;,739;2,2623;551,97;546,555
PRT0008;1;2;1;99;0;-1,1729;1,5;1,36;,1286;,3851;-,6853;-,0678;-,349;-1,5502;-1,6391;1,0346;-,6573;,1816;1,0844;1,2643;-,3178;-,687;,2621;-,5928;1,6438;,6656;-1,1549;-,3184;-,7823;-,0757;,739;1,1108;625,925;534,18
PRT0008;1;0;1;3;0;-2,1182;-1,64;-,18;-,7715;-,6938;,0477;-,3717;-,1536;1,0055;,7743;1,0346;,1744;-,2875;-,6583;,1956;-,1015;1,0671;,2621;,7301;-,0614;-,2026;-1,1549;,6818;-,7823;99;,739;-,6068;476,346;465,803
PRT0008;1;1;1;1;0;-1,9765;-,25;-,57;-,4367;-,0168;-1,0118;-,152;,135;-,4621;1,5844;99;,1744;-1,9715;1,0844;-1,0881;-,1015;,3335;,2621;1,2386;-1,7292;-,4767;,5881;1,4685;99;-,9173;-,3733;-2,3134;422,344;477,318
PRT0008;1;4;6;1;0;,6127;1,5;,59;-,3469;-,7691;-,1357;,0661;-,6068;-1,6464;-1,1311;1,0346;-1,6837;,7546;-,6583;,7871;-,6545;-1,2319;-1,593;,1038;,4107;-,1931;,2291;-,5333;-,7823;-,4164;-1,7606;-,6367;547,602;562,088
PRT0008;1;99;99;99;1;-,8581;,45;1,36;,2534;1,8733;-1,0118;-,0819;,3875;-,2546;-,99;-,6576;-1,0615;-,4556;,0042;-,2047;-,1015;-1,8939;,8126;-,5928;-,8109;-,8285;-,6615;-,3184;-,7823;1,3227;99;99;524,476;569,794
PRT0008;3;6;6;4;0;,8119;1,15;1,36;,0002;-,3023;-,6853;,4626;,1042;,3183;1,5844;1,0346;,636;,3703;1,0844;-1,7009;1,8164;-1,4242;,2621;1,2386;2,3693;,3826;-1,1549;1,4903;-,7823;-,5187;,739;-,7784;457,114;588,247
PRT0008;1;2;3;3;0;-,1676;1,5;1,36;-,5147;-,7691;-,6122;-,2587;,1042;-,7879;-1,6391;-,6576;-1,471;2,0787;,4667;-,4112;,9982;,4637;-1,3539;-,5928;-,096;-,1374;1,0428;-,4509;,1462;,6524;,739;-,0419;559,039;560,797
PRT0008;1;4;2;3;0;-,6991;1,5;1,36;-,5484;,3001;-1,0118;-,5085;-,8111;-,254;-1,1311;,6402;,6797;-,0721;1,0844;,7262;1,1448;,4637;-,267;-,5928;-,5536;-,2354;-,1088;-,445;,7703;99;99;99;484,547;507,316
PRT0008;1;5;2;2;1;-,4407;-1,64;-1,72;-,1086;-1,084;-,1357;,4785;1,0192;-,0424;,5121;99;,1744;99;-,6583;,1956;-,1015;,4637;,2621;99;99;99;99;99;99;-,0395;,0721;,0327;283,742;357,535
PRT0008;1;2;99;3;0;-,47;-,25;,98;-,5908;-,1075;,0477;-,5572;-,6231;,4301;-1,1311;1,0346;-,2934;,0127;-1,1664;-,9792;-,772;-,3799;,2621;-,5928;-,5176;,1904;-1,1549;-,3184;-,7823;,1775;,739;-,2938;483,792;487,08
PRT0008;3;99;2;4;0;-,5019;,8;1,36;-,1683;-1,084;-1,2622;1,5665;,3875;1,8202;1,1537;1,0346;-,8262;-,7215;1,0844;,571;-,1015;-1,8939;,2621;1,2386;-,0614;-2,7142;,5881;-,3184;-,7823;-,3757;,0721;99;419,736;359,322
PRT0007;1;6;6;5;0;,2614;1,5;-1,72;-1,0163;-,5466;-,6853;-,8947;-,5503;-,7868;-1,6391;1,0346;-2,2177;1,5806;1,0844;,1956;-,1015;-1,8939;1,7411;1,2386;2,3693;2,3535;3,1825;2,7249;-,7823;,0506;,0721;-,1514;431,263;430,221
PRT0007;1;4;4;3;0;-,1112;-,94;-,57;,762;,5695;1,1793;,3149;,333;,7198;,299;-,6576;-,6413;-,4556;-,6583;-,2661;-1,071;-,687;,2621;1,2386;-,4909;-,792;-1,1549;-,6693;-,7823;,155;,0721;,5133;516,329;443,062
PRT0007;2;6;6;1;0;,9842;-,6;,98;,013;,0119;,0477;,0316;,333;,7198;-,8111;1,0346;,1744;-1,2321;1,0844;,1956;,6291;,4637;,2621;,7301;,4392;-,6722;-1,1549;,3018;,2308;,6013;,739;1,369;679,876;686,121
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,1653;,739;-,0419;640,768;664,645
PRT0007;1;6;6;3;0;1,4984;,45;1,36;1,3853;,4903;1,1793;1,0646;,6901;-,7139;-,3253;1,0346;,9075;1,1914;1,0844;-,2661;,0273;1,1911;-,9827;,7301;-,8308;,5381;-,4235;,3241;-,7823;,7;,739;1,369;618,685;571,093
PRT0007;3;6;6;3;0;1,1103;1,15;1,36;,7554;,2383;-,1357;,6353;,7693;-,8338;-,6555;,2169;-,6079;,3703;-,6583;-,9372;-,772;,8207;-,9827;-1,1176;-1,9044;-,2475;,3228;-,5582;,7703;1,9457;,739;1,2659;458,347;482,188
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,1989;,739;,3075;537,82;534,839
PRT0007;1;6;6;5;0;1,1047;,45;1,36;,4022;1,8733;,031;-,1842;-,5662;,1333;-,6555;,6364;,1744;1,7513;,0281;,7871;1,8164;1,8905;-1,1437;,7301;,3139;1,465;1,2902;,0348;-,7823;1,3359;,739;,8279;700,291;680,348
PRT0007;1;6;4;3;0;,1119;-,94;,21;-,7705;-,522;1,1793;-,9658;-,7849;,286;,5121;1,0346;,1744;1,2316;1,0844;-,357;-,1015;-,4342;,2621;1,2386;-,0614;-,4356;1,7356;-,3184;-,7823;2,2123;,739;2,2623;339,681;389,136
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,8159;,739;-,0028;493,341;485,239
PRT0007;3;2;3;3;0;-,543;-,6;,98;,5664;,5159;-,6853;,3086;-,0913;-,4616;-,3253;,6402;-1,2245;-1,1538;1,0844;-,2047;-,772;1,0671;,2621;1,2386;-1,2865;-,792;-,5252;,6818;,8615;,3332;-2,1601;,3075;482,254;529,875
PRT0007;1;6;3;3;0;,8729;-1,64;-1,72;,1946;,5695;-,1357;-,0805;-,6068;-1,0988;-,3253;-1,1847;-,6894;-,6896;-,6583;-,733;-1,071;-,687;-,3121;-,5928;-,0614;-,8285;,5881;,0348;-,7823;1,1457;,739;2,2623;404,606;458,921
PRT0007;1;6;6;4;0;,7205;-,94;,98;,4264;,7789;,0477;-,169;,0595;-,2546;-,0363;1,0346;-,6079;2,6131;,4667;-,2661;1,8164;,1097;,2621;,6502;,7872;,8364;-,6615;-,3184;-,7823;2,0469;,739;,0327;658,41;662,79
PRT0007;1;6;6;99;0;1,3703;1,5;,59;,9055;1,8733;1,1793;,1935;-,1536;,373;1,3514;1,0346;,9684;,0127;1,0844;,571;1,8164;,3335;1,7411;1,2386;2,3693;2,3535;-1,1549;2,7249;-,7823;,6695;,739;,7098;687,446;682,908
PRT0007;1;6;6;4;0;1,0692;,45;,21;,1549;-,0521;,0477;,041;,0595;,3737;-,8111;-,6576;1,3209;,0127;1,0844;-,2047;,1187;-,5311;-,9827;,3385;-,8109;-,054;-1,1549;-,0939;-,7823;,779;,739;2,2623;441,345;411,51
PRT0007;1;6;6;3;0;,1045;,8;-,18;-,7879;-,5466;-1,0527;-,02;-,8794;,4301;1,1537;1,0346;,1744;-1,352;1,0844;2,0054;1,8164;,052;-2,1464;1,2386;2,3693;-,4335;-1,1549;1,4903;-,7823;,7;,739;,3075;507,335;466,715
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,0506;,739;,7098;563,881;607,99
PRT0007;1;6;6;5;0;,6849;,1;1,36;-,3915;-,3456;-,6853;,017;-,6068;,0054;-,3253;,5029;,6134;1,3262;,4626;-,4112;,487;-,7592;,2621;,6502;,4152;-,2762;-1,1549;,2243;-,7823;-,9806;,739;-1,0017;554,4;567,996
PRT0007;1;4;99;4;0;-,6047;-1,64;,59;1,0883;,7789;-,1357;,9186;,7693;-1,0988;-1,6391;1,0346;-2,2177;-,0339;,4626;-1,1309;-,772;-1,8939;1,348;1,2386;-1,6789;,0346;,5881;-,5582;2,07;,4746;,739;-1,6879;457,408;401,702
PRT0007;1;6;99;4;0;1,3624;1,5;1,36;1,0418;1,8733;1,1793;,2369;,333;-,5066;,0728;1,0346;-,6079;,228;,0083;1,1811;1,1448;-,7592;-,523;,6502;-,0621;1,6463;-1,1549;-,445;,2907;1,6306;,739;1,2659;639,864;656,488
PRT0007;1;6;3;4;0;1,0853;-,25;,98;,6464;,2383;1,1793;,5606;,0895;-,6406;-1,6391;1,0346;-,6573;,9908;1,0844;-1,2708;,1187;,5949;-,8095;,6502;,4152;-2,7142;,2281;-,9375;1,2618;-,098;,0721;1,369;478,158;562,311
PRT0007;1;6;6;99;0;1,0152;,8;1,36;,0273;-,1643;1,1793;-,0044;-,6231;-1,4163;-1,6391;1,0346;-,5551;2,6131;1,0844;-2,345;,9982;1,8905;-,6723;,6502;-,5176;-,2567;-1,1549;-1,3106;,2907;,594;,739;-,0028;567,509;468,579
PRT0007;1;4;6;4;0;1,0175;-1,64;,21;-,0681;-,2001;-1,0527;,5825;-,239;-,5066;-,3253;-,6576;-,8687;-,1042;-,6583;,1956;-,772;,4637;,2621;,5012;-,4684;,1904;-,1731;-,0939;,2907;1,9457;-,4858;,0541;587,861;467,241
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,078;,739;,0327;541,866;576,555
PRT0007;1;6;6;3;0;,5102;-1,64;-,57;-,7329;-,5466;-,1357;-,4725;-,8794;,2329;-1,6391;1,0346;,2981;-1,1538;-2,5375;-,5707;,487;-1,1597;,9269;,1038;,3611;1,0612;-1,1549;,9517;-,7823;-,3977;-,0472;-,7296;634,977;616,554
PRT0007;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,3126;,739;2,2623;550,497;435,786
PRT0002;1;6;2;4;0;,9698;,45;,98;,4234;1,8733;1,1793;-,488;-,3918;,006;1,3514;1,0346;,1744;-,1042;1,0844;,1956;-,1015;,052;-,6723;-,5928;-,0614;-,065;-,6615;,0348;-,7823;,1989;,0721;,7098;601,475;478,071
PRT0002;1;4;1;3;0;,3459;-1,64;-1,72;,6987;-,2303;-,1357;2,0622;2,0259;-,0424;2,0165;-,6576;1,8245;-1,9715;,0042;,571;-,1015;1,8905;,2621;,6502;,3858;2,329;1,7356;-,3436;-,7823;1,5823;-1,7606;1,369;496,748;526,536
PRT0002;1;5;0;3;1;-,854;-1,64;-1,72;-,8584;-,3023;-,6853;-,6916;-1,2275;,2329;,7743;-,6576;,1744;1,0781;1,0844;,571;-,1015;1,0671;,2621;,1869;-,0614;-2,7142;1,7356;-,2337;-,7823;-,2161;,0721;,4072;419,06;415,236
PRT0002;1;4;4;2;0;-,6018;1,5;-1,72;-,0363;,1075;,0477;-,1796;,333;,286;,5121;1,0346;,9684;,4627;1,0844;-2,345;,5693;,9606;,8126;1,2386;,7251;,6501;-,6615;1,4685;-,7823;,7275;,739;-,3957;516,37;562,971
PRT0002;1;5;5;1;1;-,1125; ;-1,72;-,9763;-1,7773;-1,0118;-,4045;-,8794;-1,0505;-,99;-,6576;-,6414;-,9223;-,6583;,1956;-1,3692;,052;-,9827;-,5928;-,0614;,1904;-1,1549;-,4415;-,7823;,2295;,739;-,7155;439,529;454,652
PRT0002;3;4;2;99;0;-1,077;-,94;,59;-,5129;-,7691;-,6853;-,0724;-,112;,0836;-,1625;-,6576;-,6079;,8628;1,0844;-,5707;-,772;-,0288;-,569;-,5928;-1,0974;,1257;-1,1549;-,7654;,7703;-,1346;,0721;-2,6105;507,932;451,686
PRT0002;1;5;1;4;0;-,9066;-,25;-1,34;-1,2096;-1,7773;-1,0118;-,469;-1,2275;-,6707;1,1537;,5029;-,7051;-1,3158;-1,6157;2,0054;-,1982;,4637;-,3121;,5012;-,7997;-,2447;1,3527;-,6995;1,5082;,3541;,739;2,2623;432,633;433,429
PRT0002;1;2;1;3;0;-1,8118;-1,64;-,57;-,862;-1,7773;-,6853;-,5433;,1042;-1,3309;-,0008;-,6576;-2,2177;-,5831;-,6583;-1,7009;-,1015;,4637;-,1652;1,2386;-1,4832;-,8285;,5881;-1,0064;-,7823;-,7076;,739;,6425;514,935;518,73
PRT0002;1;5;6;3;0;1,0657;-1,29;-1,34;,6001;,1354;,0477;,7328;,6901;,1814;-1,6391;1,0346;,636;1,5998;1,0844;-,6888;1,8164;-,3799;1,7411;,3385;,871;-,5257;1,7356;,2243;-,7823;,594;,739;,7098;445,909;431,424
PRT0002;1;1;1;3;0;-2,293;,45;1,36;-1,0486;-,6938;-,6853;-,8941;-,783;,0054;-,3253;,2127;,1744;,2694;1,0844;-,9792;-,1015;,1097;,2621;-,5928;-,0614;-,4609;,5881;-,3184;,2308;,8159;,739;-,9738;550,282;587,896
PRT0002;1;6;6;3;0;,7268;-,6;,21;-,3724;-,5466;-,6853;,3949;,135;-,4616;-1,6391;-1,0657;-,2934;-1,1285;1,0844;-2,345;1,8164;1,8905;-,92;-,5928;,3308;-,8159;,8538;,1853;-,7823;,6247;,0721;-1,4836;460,147;429,97
PRT0002;1;4;99;2;0;,4618;1,5;,59;,235;1,8733;-,1357;-,3339;-,8794;-,5072;-,3253;-,6576;-2,2177;1,2316;-,6583;-,2661;-,1015;-1,8939;-,9827;-,5928;,7877;-,1859;-,5252;-,0939;-,7823;-,3903;,739;2,2623;664,502;631,323
PRT0002;1;5;5;3;1;-2,7777;-1,64;-1,72;-2,3434;-1,7773;-1,9598;-1,8137;-1,9075;1,8202;-,6555;-,6576;-,6079;-1,1798;-,6583;-,2047;-1,3692;,052;,2621;,5012;-,0614;-2,7142;-1,1549;,5453;-,7823;-,5591;-1,7606;-,6866;475,086;373,99
PRT0002;1;6;1;99;0;,7751;-,25;,59;,1975;,5159;,0477;-,2353;-,3629;-,9726;-1,1311;1,0346;-1,0615;-,0721;-,6583;-,9792;-1,071;-,2006;-,9827;1,2386;-,4531;2,3535;,1265;,6818;-,7823;,5365;,739;1,4392;628,639;616,645
PRT0002;1;4;4;2;1;-1,1671; ; ;-1,7329;-1,7773;-1,956;-1,0573;-1,1266;-,0424;-,3253;99;,1744;,1372;-,6583;,1956;-,1015;99;99;1,2386;99;99;99;99;99;-1,0596;-1,7606;-1,1645;439,302;468,374
PRT0002;1;4;2;99;0;,1057;-,25;1,36;-,153;-,4377;1,1793;-,019;-,1536;-,2546;-,6555;1,0346;,3684;-,2406;1,0844;-,2047;1,8164;,1097;,1333;1,2386;,7251;-,42;-1,1549;-,3184;-,7823;,1168;,739;-,4619;633,964;579,303
PRT0002;1;6;2;3;0;1,0861;,1;-1,72;,3889;-,3023;1,1793;,8404;,9144;-,5072;,5121;1,0346;,1744;-,2704;-,6583;-,4112;-,6545;-,9295;,2621;,6502;-,4684;-,4609;-1,1549;,3241;-,7823;99;99;99;552,601;444,94
PRT0002;1;4;6;4;1;,5429;-,6;-,95;,2786;1,8733;-1,0118;,0689;,135;,006;-1,6391;-,6576;,636;-,6146;1,0844;,4352;-,772;,052;-,569;,1038;-,8738;-,5934;,8403;,0255;,2907;1,0956;-,5553;,0327;442,065;399,768
PRT0002;1;4;1;1;1;-1,063;-1,64;-1,72;-,6613;-1,7773;-,6853;,2122;-,0013;-,0424;,7743;-1,0657;,1744;-,4556;-,6583;99;-,1015;,4637;,2621;-,5928;-,0614;,1904;-1,1549;-,5635;-,7823;-,7884;,0721;-1,7988;452,174;443,092
PRT0002;1;3;2;3;0;-,7208;-1,64;-,57;,3287;,0422;1,1793;,431;-,044;,3737;-,3253;1,0346;-,6079;-,0886;1,0844;-,2661;,6291;-,9295;,2621;1,2386;-,0614;-,42;-,1731;,6818;-,7823;99;99;99;580,276;573,186
PRT0002;1;4;6;99;9;-1,0116; ; ;-2,3711;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,2518;,739;,7098;395,959;385,198
PRT0002;1;4;4;3;1;-1,0754;-1,64;-1,72;-1,2499;-1,7773;-1,9183;-,559;-,8794;-,0424;-,3253;-,6576;,1744;-1,3532;-1,1664;,1956;99;,4637;,2621;1,2386;-,0614;,1904;1,7356;-,9879;-,7823;1,3874;,0721;99;386,597;390,96
PRT0002;1;1;1;3;0;-1,6389;-,25;-1,72;-,8704;-,6938;-,1357;-,676;-,8794;-,5799;,7743;-2,4468;-,9809;-,5831;1,0844;,411;-,1015;1,1911;-2,1464;-,5928;,3858;-,4476;-,3887;,6653;-,7823;,5057;,739;-,4272;542,158;521,332
PRT0002;1;6;6;3;0;1,2526;-,25;,21;,7823;1,8733;1,1793;,017;,0895;-,4616;,7743;1,0346;,3684;,1984;,443;-,5707;,6291;-,2006;,9269;,7301;-,0614;,0043;-1,1549;,3241;-,7823;,5968;,739;,7098;510,563;559,502
PRT0002;1;4;2;3;0;-,5698;,1;,21;-,6169;-1,7773;-,6853;-,1968;-1,2275;-,5072;,0728;1,0346;,1744;,1984;1,0844;-,2661;-,1015;-,4342;,2621;1,2386;-,4684;,0043;-,1731;,165;,7703;-1,2578;,739;-,3773;576,355;543,559
PRT0002;1;4;6;3;0;1,3037;1,15;,59;,8252;,7789;1,1793;,4428;,6901;,4301;1,5844;1,0346;-,2934;,3048;1,0844;-,2661;,6291;,4637;-,9827;,5012;-,8738;-,4609;-1,1549;-,6765;,7703;1,5823;,739;1,369;478,891;589,46
PRT0008;1;2;1;4;0;-1,4912;1,5;,98;-,7384;-,522;-,6853;-,2713;-,8794;-,1809;-,99;,3622;,7222;1,2316;1,0844;-,5707;,6291;,4637;-,1652;-,5928;-,4684;-,0439;-,2021;,6818;,2907;-,5538;,739;-,2052;517,815;507,289
PRT0008;1;4;2;5;0;-,9577;-,25;-,18;-,3372;,3164;-,1357;-1,0729;-1,1562;,6532;-,6555;1,0346;-,3449;,7546;1,0844;-,2661;-,772;,4637;-,9827;1,2386;-,0328;,0203;,5881;-,5665;-,7823;99;99;99;445,609;399,046
PRT0008;1;6;6;2;0;1,058;1,15;1,36;,6714;,5695;1,1793;,3149;,333;,0351;,7743;1,0346;,3684;-,2704;-,6583;-,2661;,9982;-,0845;-,1652;,1869;-1,497;-,3756;-1,1549;-,7587;,1462;1,6306;-,5553;-,4768;471,884;476,566
PRT0008;1;4;2;5;0;-,729;1,15;,98;,1973;1,8733;1,1793;-,653;-,6231;1,0067;-,3253;,2127;-,2934;,638;1,0844;,7871;,487;-,687;,2621;1,2386;,0018;,1904;-1,1549;,0544;-,7823;1,3171;-,5553;1,2659;410,883;489,876
PRT0008;1;1;1;3;0;-1,6838;,8;1,36;,5768;-,1124;-,6122;1,5665;,3875;,6532;-,6555;,6402;,1744;,8628;1,0844;,571;,6291;-,3799;-,267;,7301;-,0614;,3836;-1,1549;-,3184;-,7823;,0316;-,5553;,3075;597,439;691,981
PRT0008;1;4;4;2;0;-,3223;-,6;,59;-,0348;,444;-,6853;-,1675;-,4834;1,1049;-,3253;-,6576;,1744;,8628;1,0844;,1956;,1187;,5949;-,4066;-,5928;1,1934;-,9623;,3228;-,6464;-,7823;99;99;99;479,258;404,255
PRT0008;1;4;1;4;0;-1,3441;,1;-,18;-1,2964;-,5466;-1,0118;-1,1203;-1,4787;1,8202;,299;1,0346;,784;-1,3532;-,6583;2,0054;-1,3692;-,3799;1,348;,4094;2,3693;2,3535;-1,1549;,6818;-,7823;-,8275;,0721;,3075;566,813;605,459
PRT0008;1;2;4;3;0;-,2413;1,15;,59;,1565;1,8733;-,6853;-,0609;-,8794;-,4616;-1,6391;1,0346;-1,0615;1,2316;1,0844;,1956;-,1015;1,3423;-,9827;-,5928;-,096;1,0789;,1265;-,4509;-,7823;-,6569;,739;-,7296;664,923;705,862
PRT0008;1;5;0;4;0;,0709;,45;,59;-,8982;-1,084;-1,2622;-,1418;-,349;-,5072;-,99;1,0346;,1744;1,2316;1,0844;,1956;,487;-1,8939;,2621;,6502;1,1262;-,7856;-,3896;1,4326;-,7823;,4955;,739;,3685;388,803;380,91
PRT0008;1;0;0;3;0;-2,6902;1,15;,59;-1,3924;-,3834;-,6853;-1,5589;-,8794;,3183;1,5844;1,0346;,6134;,8628;1,0844;-,0326;-,6545;-,2006;-,9827;-,5928;-,0614;-,472;-,1731;-,2897;-,7823;99;99;99;505,03;534,36
PRT0008;1;2;2;2;1;-1,1333;-,6;-,95;-1,1898;-,6938;-,6853;-,9388;-,8794;,8667;-,1653;-,6576;-,6894;-1,9715;-2,0711;-,8865;1,8164;-1,1597;1,7411;1,2386;-,4679;-,9477;,8403;,0498;-,7823;99;99;99;415,644;502,954
PRT0008;1;4;2;3;0;-,5335;-1,64;-1,72;-,1633;-,5466;1,1793;,0321;,0895;,0054;,7743;1,0346;,1744;-,6146;-1,1507;,7262;,6291;-,3799;,2621;1,2386;-,0614;,1904;-,3896;-,1843;-,7823;,784;,739;2,2623;441,737;422,219
PRT0006;1;2;5;2;1;,2066;1,5;,59;,9527;-,0396;,0477;1,8255;,7063;1,0067;-,3253;1,0346;-,6573;,0127;1,0844;-,357;,9982;,1097;,2621;-,5928;-,4909;-,9477;-1,1549;-,0939;1,2327;,4592;,739;,3685;406,094;385,723
PRT0006;2;3;1;1;1;-1,4017;-,6;,59;-1,3181;,0422;-1,1657;-1,5005;-2,0108;-1,4177;,9044;1,0346;-,7051;-,5558;-,7025;-,6888;-1,154;-,2006;-,267;-,5928;-,0614;-,5651;1,3398;-,9879;1,5082;-,7398;-2,0924;-2,086;345,056;294,383
PRT0006;1;6;5;0;1;-,511;1,15;,21;-,4784;,0842;-,6853;-,5396;-,5742;1,0055;1,251;,2127;,9684;1,1495;1,0844;,6314;,5693;-,4342;,9269;1,2386;,8021;,5976;,3228;-1,0409;2,4601;-,9806;-,115;-1,0618;314,587;319,099
PRT0006;2;3;1;3;1;-1,3818;-1,64;-1,72;-,9825;,0119;-1,2862;-,8897;-,914;-1,0362;,7743;99;,1744;,2641;-1,1534;,1956;-,1015;,4637;-2,1464;-1,8489;-,0614;-,7625;,4797;-,1769;,2907;-1,2489;-2,6585;-,8406;440,463;359,328
PRT0006;2;0;99;2;1;-3,3678;,1;-,18;-2,2433;,0061;-3,0862;-2,0079;-2,3112;1,8202;,7743;1,0346;,1744;-1,1538;,4626;-,2047;-,772;,4637;,2621;1,2386;-,0614;-,2881;1,6498;,1493;1,5436;,3319;-,7604;,2063;349,895;342,132
PRT0006;1;2;1;4;1;-1,7508;,45;-1,72;-,9687;-1,7773;-,6853;-,3486;-,349;-,3001;-,3253;-,6576;,1744;,0127;-1,4024;,1956;-,1015;-,4342;99;1,2386;-,0614;99;,5881;-,3184;2,07;,3714;,739;-,3096;316,42;228,252
PRT0006;1;1;1;3;1;-2,2955;-1,29;,59;-,9068;-,6938;-,6853;-,3698;-,6068;,0054;-,3253;-,6576;,1744;-,1042;-1,6139;-,733;-1,071;,052;-,569;-,5928;-1,0352;-,3077;1,0167;-,3184;-,7823;-,9854;-,5553;-1,0017;418,904;390,975
PRT0006;1;1;1;1;1;-2,2879;-,6;,59;-,9758;,1706;-1,2793;-1,1604;-1,0542;1,1049;,7743;-,6576;,1744;-,4423;,4667;-,5707;-,3178;,4637;,9269;,3385;-,0614;,3511;,5881;-,224;-,7823;99;-1,7606;-2,6483;294,525;307,892
PRT0006;1;4;4;3;1;-2,1428;-,25;-,95;-,6937;-,4377;-,5813;-,472;-,4231;-,5066;-,1625;-,6576;-,2934;,5046;,4626;1,1811;-,772;-,3799;-,9827;1,2386;-,0614;,0346;,3228;-,4415;-,7823;-2,1882;-,5553;-,6068;414,167;439,916
PRT0006;1;1;1;1;1;-2,2549;,8;-1,34;-1,0612;,3536;-,6122;-1,4332;-1,5445;-1,0988;-,3253;-,6576;-1,0615;,5046;-1,4117;-,6888;-1,1187;,5949;-,9827;-,5928;-,7906;-,4008;-,6615;-,6659;,6725;-,3141;,739;,4072;290,85;298,668
PRT0006;1;2;1;4;1;-1,3676; ;,21;,2173;-,0471;1,1793;,4167;,3443;1,8202;-,3253;-,6576;,1744;-,0841;-,6583;,1956;,5693;-,687;,2621;1,2386;99;,4678;1,7356;-,8423;-,7823;1,3171;-1,7606;-,5589;322,329;368,339
PRT0006;2;2;1;3;1;-1,8624;-,94;-,95;-1,2324;-1,7773;-,6853;-,8209;-,349;-,0424;1,5844;-,6576;,1744;-,6146;,443;1,1811;1,1448;-,13;,2621;,6502;-,0614;-,5934;1,0428;-,224;-,7823;-,0557;99;-1,3261;384,405;328,434
PRT0019;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,2934;-1,8635;-,3768;365,283;361,935
PRT0019;1;0;0;2;1;-2,7915;-1,64;-,18;-1,155;-,3834;-,9779;-,8008;-,5742;1,8202;,2012;-,6576;,1744;-,2026;1,0844;2,0054;,487;-1,8939;,2621;-,5928;-,0614;,1904;1,4237;,171;-,7823;-,8383;,739;-1,7845;305,303;391,677
PRT0019;1;99;0;1;1;-2,9776; ; ;-1,5947;-,6589;-1,3835;-,9926;-1,4436;1,8202;-,3253;-,6576;,1744;,5385;1,0844;,571;99;,4637;,2621;1,2386;,0556;-,9764;1,2675;-,5707;-,7823;1,215;-,0472;-1,3377;283,582;280,677
PRT0019;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-,3236;,739;,3075;307,129;345,612
PRT0019;1; ; ;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;362,372;398,73
PRT0019;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;,5025;-1,7606;-1,4129;427,678;410,805
PRT0019;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;1,1726;-2,4535;-,3604;386,404;416,671
